YearMonth,Grid_X,Grid_Y,Crime_Count
2021-02,439,4640,33
2021-02,439,4641,25
2021-02,439,4642,29
2021-02,439,4643,26
2021-02,439,4644,9
2021-02,439,4645,12
2021-02,439,4646,27
2021-02,439,4647,3
2021-02,439,4648,4
2021-02,439,4649,5
2021-02,440,4615,5
2021-02,440,4616,5
2021-02,440,4617,4
2021-02,440,4618,1
2021-02,440,4620,6
2021-02,440,4621,8
2021-02,440,4622,11
2021-02,440,4623,8
2021-02,440,4624,13
2021-02,440,4625,14
2021-02,440,4626,15
2021-02,440,4627,11
2021-02,440,4628,4
2021-02,440,4629,2
2021-02,440,4630,1
2021-02,440,4631,5
2021-02,440,4632,29
2021-02,440,4633,44
2021-02,440,4634,90
2021-02,440,4635,94
2021-02,440,4636,49
2021-02,440,4637,51
2021-02,440,4638,97
2021-02,440,4639,42
2021-02,440,4640,31
2021-02,440,4641,28
2021-02,440,4642,28
2021-02,440,4643,19
2021-02,440,4644,14
2021-02,440,4645,38
2021-02,440,4646,35
2021-02,440,4647,4
2021-02,440,4648,18
2021-02,440,4649,8
2021-02,441,4615,4
2021-02,441,4616,11
2021-02,441,4617,2
2021-02,441,4620,1
2021-02,441,4621,18
2021-02,441,4622,9
2021-02,441,4623,9
2021-02,441,4624,16
2021-02,441,4625,56
2021-02,441,4626,21
2021-02,441,4627,17
2021-02,441,4628,7
2021-02,441,4629,22
2021-02,441,4630,18
2021-02,441,4631,1
2021-02,441,4632,28
2021-02,441,4633,35
2021-02,441,4634,60
2021-02,441,4635,101
2021-02,441,4636,59
2021-02,441,4637,39
2021-02,441,4638,34
2021-02,441,4639,10
2021-02,441,4640,31
2021-02,441,4641,34
2021-02,441,4642,28
2021-02,441,4643,13
2021-02,441,4644,38
2021-02,441,4645,24
2021-02,441,4646,22
2021-02,441,4647,7
2021-02,441,4648,12
2021-02,441,4649,24
2021-02,441,4650,4
2021-02,441,4651,7
2021-02,442,4615,2
2021-02,442,4616,1
2021-02,442,4617,1
2021-02,442,4618,1
2021-02,442,4620,5
2021-02,442,4621,7
2021-02,442,4622,4
2021-02,442,4623,29
2021-02,442,4624,35
2021-02,442,4625,69
2021-02,442,4626,43
2021-02,442,4627,19
2021-02,442,4628,12
2021-02,442,4629,25
2021-02,442,4630,18
2021-02,442,4631,5
2021-02,442,4632,8
2021-02,442,4633,40
2021-02,442,4634,15
2021-02,442,4635,30
2021-02,442,4636,30
2021-02,442,4637,10
2021-02,442,4638,20
2021-02,442,4639,33
2021-02,442,4640,29
2021-02,442,4641,31
2021-02,442,4642,13
2021-02,442,4643,2
2021-02,442,4644,10
2021-02,442,4645,16
2021-02,442,4646,21
2021-02,442,4647,44
2021-02,442,4648,15
2021-02,442,4649,55
2021-02,442,4650,16
2021-02,442,4651,17
2021-02,442,4652,6
2021-02,443,4614,9
2021-02,443,4615,9
2021-02,443,4616,4
2021-02,443,4617,11
2021-02,443,4618,5
2021-02,443,4619,4
2021-02,443,4620,4
2021-02,443,4621,5
2021-02,443,4622,12
2021-02,443,4623,24
2021-02,443,4624,34
2021-02,443,4625,52
2021-02,443,4626,17
2021-02,443,4627,20
2021-02,443,4628,26
2021-02,443,4629,9
2021-02,443,4630,12
2021-02,443,4631,14
